Target,Buyer,Seller,EUR Value (m),Announced,Completed,Revenue,EBITDA,EBIT,Earnings,Summary
Instem plc,ArchiMed SAS,"Liontrust Investment Management Ltd
Business Growth Fund Ltd",234.72,30/08/2023,20/11/2023,234.72,3.2x,19.4x,29.2x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
GoSol Energi AB,Renewable Ventures Nordic AB,,8.82,28/08/2023,28/04/2024,8.82,0.6x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Abcam Ltd,Danaher Corp,,"5,242.02",28/08/2023,06/12/2023,"5,242.02",12.4x,46.1x,83.6x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Gremi Media SA,Pluralis BV,,7.23,25/08/2023,25/08/2023,7.23,2.0x,18.3x,25.1x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Clariant AG,40 North Management LLC,,90.78,25/08/2023,25/08/2023,90.78,1.1x,7.0x,10.5x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Alphia Inc,PAI Partners SAS,"J.H. Whitney Capital Partners, LLC",922.51,24/08/2023,02/10/2023,922.51,1.1x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Kinovo plc,Rx3 Holdings Ltd,,41.07,24/08/2023,,41.07,0.6x,6.0x,7.3x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Hellenic Bank pcl,"Eurobank Ergasias Services & Holdings SA
Eurobank SA","Wargaming Group Limited
Senvest Management LLC
Poppy Sarl",279.98,23/08/2023,31/07/2024,279.98,2.2x,4.5x,4.8x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Davidsen Koncernen A/S,Kesko Oyj,,171.00,23/08/2023,31/01/2024,171.00,0.3x,7.0x,8.3x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Integrated Packaging Solutions LLC,XANO Industri AB,"Michael Calahan (Private Individual)
Kevin Gillest (Private Individual)",19.28,21/08/2023,28/09/2023,19.28,1.3x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
SUSE SA,"EQT VIII Fund
EQT AB",,651.67,17/08/2023,04/10/2023,651.67,5.3x,23.3x,170.4x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Koninklijke Philips NV,Exor NV,Goldman Sachs & Co LLC,"2,070.00",14/08/2023,14/08/2023,"2,070.00",0.9x,28.2x,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Glantus Holdings plc,Basware Oy,,33.53,14/08/2023,18/10/2023,33.53,3.4x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Oragroup SA,Vista Group Holding SA,"Societe de Promotion & de Participation pour la Cooperation Economique SA - Proparco
Emerging Capital Partners LLC
Belgian Investment Co for Developing Countries - BIO
DEG-German Investment & Development Co",158.98,10/08/2023,,158.98,1.0x,11.1x,11.1x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Ludan Engineering Co. Ltd.,Brand Industries Ltd,Value Base Underwriting & Securities Distribution Ltd,9.09,09/08/2023,09/08/2023,9.09,0.4x,3.7x,6.0x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Computer Task Group Inc,Cegeka NV,,122.35,09/08/2023,13/12/2023,122.35,0.6x,14.5x,18.8x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Sequans Communications SA,Renesas Electronics Corp,,188.35,07/08/2023,,188.35,3.6x,43.3x,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Finerge SA,"AXA SA
AXA Investment Managers SA",Mitsubishi UFJ Financial Group Inc,855.00,04/08/2023,04/10/2023,855.00,11.4x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Sensorion,"Sofinnova Partners SAS
Redmile Group LLC
Invus SAS",,30.00,03/08/2023,,30.00,15.6x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Pipestone Energy Corp,Strathcona Resources Ltd,,513.25,01/08/2023,03/10/2023,513.25,1.2x,1.8x,2.4x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Societe Fermiere du Casino Municipal de Cannes SA - SFCMC,Societe de Participation Deauvillaise,Financiere Marc de Lacharriere SA - FIMALAC,24.53,31/07/2023,05/10/2023,24.53,1.5x,4.5x,6.0x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Aptamer Group plc,"Dr Adam Hargreaves (Private Individual)
Nicholas Slater (Private Individual)",,0.36,31/07/2023,19/09/2023,0.36,1.2x,-,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Constantia Flexibles Group GmbH,One Rock Capital Partners LLC,Wendel SE,"1,412.80",31/07/2023,04/01/2024,"1,412.80",2.0x,12.7x,-,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Worldline SA,Credit Agricole SA,,261.47,28/07/2023,22/01/2024,261.47,1.3x,6.4x,7.0x,"Target Description: Software-Computer, Traditional & Other. Provider of cyber-security software. | Deal Description: SailPoint Technologies Holdings Inc, the listed United States based holding company with subsidiaries engaged with enterprise access management, through its subsidiary SailPoint Technologies UK Ltd, has agreed to acquire Osirium Technologies plc, the listed United Kingdom based provider of cyber-security software, through a cash offer at £0.0235 per share. The consideration for 100% stake of Osirium is £2.9m on a fully-diluted basis. The total deal value including net debt is £5m. Closing is subject to shareholders' and court approval. 30 Oct 23: The transaction was completed."
Valentino Fashion Group SpA,Kering SA,Mayhoola For Investments (QFC) - LLC,"1,700.00",27/07/2023,30/11/2023,"1,700.00",4.0x,16.2x,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Q_PERIOR AG,Wavestone SA,,365.00,25/07/2023,05/12/2023,365.00,1.3x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
BuildData Group AB,Goldcup 33244 AB1,,6.28,24/07/2023,22/09/2023,6.28,2.2x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Kenvue Inc,Existing Shareholders,Johnson & Johnson,"38,058.13",24/07/2023,23/08/2023,"38,058.13",3.3x,17.6x,17.6x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
SkinTeam Norge AS,Aqua Bio Technology ASA,,4.01,23/07/2023,16/08/2023,4.01,1.9x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Cake Box Holdings plc,The Cheesecake Shop Pty Ltd,,73.92,19/07/2023,,73.92,1.7x,9.0x,10.9x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Evolis SA,"ASSA ABLOY AB
HID Global Corporation","Credit Mutuel Equity
Cedys & Co SAS",228.41,19/07/2023,20/09/2023,228.41,1.8x,8.6x,9.7x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Coredination AB,SmartCraft ASA,,2.18,18/07/2023,18/07/2023,2.18,2.4x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
CIMA SpA (Modena),Loomis AB,Milano Investments SpA,149.50,18/07/2023,02/10/2023,149.50,2.3x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
GAM Holding AG,"NJJ Capital SAS
Bruellan SA
NewGAMe SA",,15.96,18/07/2023,29/08/2023,15.96,0.0x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Milpa Ticari ve Sinai Ueruenler Pazarlama Sanayi ve Ticaret AS,Re-Pie Portfoy Yonetimi AS,Dogan Sirketler Grubu Holding AS,48.97,17/07/2023,,48.97,137.9x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Steico AG,Kingspan Group Plc,Schramek GmbH,416.69,17/07/2023,05/01/2024,416.69,1.8x,10.4x,17.3x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Gresham House Ltd,Searchlight Capital Partners LP,,492.58,17/07/2023,19/12/2023,492.58,4.9x,16.5x,32.8x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Canopy Growth Corp,Creditors,,30.31,14/07/2023,17/07/2023,30.31,1.0x,-,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Kahoot! ASA,"General Atlantic LLC
Goldman Sachs Capital Partners
Kirkbi Invest A/S
Glitrafjord AS",,"1,639.16",14/07/2023,28/12/2023,"1,639.16",11.6x,6807.4x,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Universo Pacha SA,FIVE Holdings (BVI) Ltd,Trilantic Capital Management LP,303.00,13/07/2023,11/10/2023,303.00,3.5x,12.0x,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Growens SpA,Growens SpA,,18.00,13/07/2023,10/12/2023,18.00,1.0x,75.7x,2603.0x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
